"Category";"Fields of Research (ANZSRC 2020)"
"40 Engineering";2057
"46 Information and Computing Sciences";1464
"32 Biomedical and Clinical Sciences";1375
"49 Mathematical Sciences";983
"51 Physical Sciences";934
"31 Biological Sciences";820
"37 Earth Sciences";714
"41 Environmental Sciences";608
"30 Agricultural, Veterinary and Food Sciences";290
"34 Chemical Sciences";270
"52 Psychology";90
"33 Built Environment and Design";87
"42 Health Sciences";86
"44 Human Society";79
"50 Philosophy and Religious Studies";63
"43 History, Heritage and Archaeology";35
"38 Economics";29
"35 Commerce, Management, Tourism and Services";23
"36 Creative Arts and Writing";21
"39 Education";16
"47 Language, Communication and Culture";11
"48 Law and Legal Studies";8